Title,Date
"El Irlandés","27/12/20"
"Dos policías rebeldes","11/12/20"
"","7/12/20"
"La Nochebuena es mi condena","4/12/20"
"21: Blackjack","4/12/20"
"Crónicas de Navidad","27/11/20"
"Atrápame si puedes","27/11/20"
"Gambito de dama: Miniserie: Aperturas","24/11/20"
"Historia de un matrimonio","16/11/20"
"Amor de calendario","15/11/20"
"El hoyo","14/11/20"
"Tyler Rake","14/11/20"
"Memorias de Idhún: Parte 1: Limbhad","14/11/20"
"","13/11/20"
"The Liberator: Temporada 1: Por qué luchamos","13/11/20"
"Siete almas","11/11/20"
"Emboscada final","8/11/20"
"Kick-ass. Listo para machacar","7/11/20"
"","5/11/20"
"","4/11/20"
"Máquina de guerra","3/11/20"
"","3/11/20"
"El canto del lobo","2/11/20"
"","2/11/20"
"El gran hackeo","2/11/20"
"Narcos: Temporada 1: Descenso","2/11/20"
"El juicio de los 7 de Chicago","1/11/20"
"","31/10/20"
"Triple frontera","31/10/20"
"Formula 1: La emoción de un Grand Prix: Temporada 2: Que se apaguen las luces","31/10/20"
"","30/10/20"
"A todo gas: Tokyo Race","30/10/20"
"","29/10/20"
"Lost in Space: Temporada 1: Invasión","29/10/20"
"The King","28/10/20"
"Sin compromiso","28/10/20"
"Paso de ti","28/10/20"
"Lost in Space: Temporada 1: Diamantes estelares","27/10/20"
"Altered Carbon: Temporada 1: Retorno al pasado","27/10/20"
"Black Mirror: Temporada 5: Striking Vipers","27/10/20"
"Biohackers: Temporada 1: Destino","26/10/20"
"Biohackers: Temporada 1: Traición","26/10/20"
"Biohackers: Temporada 1: Certeza","26/10/20"
"Lost in Space: Temporada 1: Impacto","25/10/20"
"Biohackers: Temporada 1: Sospechas","25/10/20"
"Biohackers: Temporada 1: Secretos","25/10/20"
"Sin reservas","22/10/20"
"","18/10/20"
"Origen","17/10/20"
"Enola Holmes","16/10/20"
"","15/10/20"
"Stealth: La amenaza invisible","12/10/20"
"IO","10/10/20"
"","9/10/20"
"Merlí: Temporada 1: Nietzsche","8/10/20"
"Merlí: Temporada 1: Hume","7/10/20"
"Merlí: Temporada 1: Los sofistas","7/10/20"
"Merlí: Temporada 1: Los escépticos","7/10/20"
"Merlí: Temporada 1: Epicuro","6/10/20"
"Merlí: Temporada 1: Guy Debord","6/10/20"
"Merlí: Temporada 1: Foucault","6/10/20"
"Merlí: Temporada 1: Schopenhauer","6/10/20"
"Merlí: Temporada 1: Sócrates","5/10/20"
"Merlí: Temporada 1: Aristóteles","5/10/20"
"Merlí: Temporada 1: Maquiavelo","5/10/20"
"Merlí: Temporada 1: Platón","5/10/20"
"Merlí: Temporada 1: Los peripatéticos","5/10/20"
"Conquista a medias","4/10/20"
"Cómo vender drogas online (a toda pastilla): Temporada 2: Muévete rápido y rompe cosas","4/10/20"
"Biohackers: Temporada 1: Llegada","3/10/20"
"","2/10/20"
"Code 8","2/10/20"
"","28/9/20"
"","28/9/20"
"","25/9/20"
"Cómo conocí a vuestra madre: Temporada 1: Okey, ¡qué alucinante!","25/9/20"
"Cómo conocí a vuestra madre: Temporada 1: El regreso de la camisa","25/9/20"
"","20/9/20"
"Los juegos del hambre","18/9/20"
"La vieja guardia","18/9/20"
"Fariña: Temporada 1: Capítulo 10: 1990","15/9/20"
"Fariña: Temporada 1: Capítulo 9: 1989","14/9/20"
"Fariña: Temporada 1: Capítulo 8: 1988","13/9/20"
"Fariña: Temporada 1: Capítulo 7: 1987","12/9/20"
"Fariña: Temporada 1: Capítulo 6: 1986","11/9/20"
"Fariña: Temporada 1: Capítulo 5: 1985","8/9/20"
"Fariña: Temporada 1: Capítulo 4: 1984","7/9/20"
"Fariña: Temporada 1: Capítulo 3: 1983","6/9/20"
"Fariña: Temporada 1: Capítulo 2: 1982","5/9/20"
"","4/9/20"
"Querido John","4/9/20"
"Cómo vender drogas online (a toda pastilla): Temporada 2: Cómpralo. Véndelo. Disfrútalo.","3/9/20"
"Cómo vender drogas online (a toda pastilla): Temporada 2: Inspirado en la vida real","2/9/20"
"Cómo vender drogas online (a toda pastilla): Temporada 2: ¿A dónde quieres ir ahora?","2/9/20"
"Cómo vender drogas online (a toda pastilla): Temporada 2: Piensa diferente","2/9/20"
"","1/9/20"
"The Do-Over","31/8/20"
"Cómo conocí a vuestra madre: Temporada 1: El dulce sabor de la libertad","30/8/20"
"El asedio de Jadotville","29/8/20"
"El ascenso","29/8/20"
"Cómo conocí a vuestra madre: Temporada 1: La jirafa púrpura","29/8/20"
"Cómo conocí a vuestra madre: Temporada 1: Piloto","29/8/20"
"Cómo vender drogas online (a toda pastilla): Temporada 1: Si eres el más listo de la habitación, te has equivocado de habitación","29/8/20"
"Cómo vender drogas online (a toda pastilla): Temporada 1: Si lo haces, que sea a lo grande","29/8/20"
"Cómo vender drogas online (a toda pastilla): Temporada 1: Si esta es la realidad, no me interesa","29/8/20"
"","27/8/20"
"Cómo vender drogas online (a toda pastilla): Temporada 1: No hay lugar al fracaso","25/8/20"
"Cómo vender drogas online (a toda pastilla): Temporada 1: La vida no es justa, acostúmbrate a ello","25/8/20"
"Fariña: Temporada 1: Capítulo 1: 1981","24/8/20"
"","24/8/20"
"Cómo vender drogas online (a toda pastilla): Temporada 1: Friki hoy, jefe mañana","24/8/20"
"2 Fast 2 Furious (A Todo Gas 2)","23/8/20"
"The Witcher: Temporada 1: El principio del fin","20/8/20"
"The Witcher: Temporada 1: Cuatro marcos","20/8/20"
"Sex Education: Temporada 2: Episodio 8","19/8/20"
"Sex Education: Temporada 2: Episodio 7","19/8/20"
"Sex Education: Temporada 2: Episodio 6","19/8/20"
"Sex Education: Temporada 2: Episodio 5","19/8/20"
"Sex Education: Temporada 2: Episodio 4","19/8/20"
"Sex Education: Temporada 2: Episodio 3","19/8/20"
"Sex Education: Temporada 2: Episodio 2","19/8/20"
"Sex Education: Temporada 2: Episodio 1","19/8/20"
"Sex Education: Temporada 1: Episodio 8","19/8/20"
